time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.333328231384133,1.0,17214.762706618494,0.0,-8847.889171584968,0.2,0.00013541658375999208,72138.30821074806,15.287123563369725,0.4840999487526617,23897.581488667667,68.05737270077049
160.1614066514918,1334.6775716270718,8.333328231384133,11458.10771117736,14501.422655654713,0.0,-7826.865164626314,0.22168851053893995,0.0001354165837599922,71970.55308434917,16.60402040276719,0.45045814111329263,20610.611777892544,75.0907938870504
381.15145842511055,3176.2602089272095,8.333328231384133,29105.619661479042,11993.008701960858,0.0,-6899.501279169537,0.25161422839506714,0.0001354165837599921,71766.82595937424,17.810612761198367,0.4225628927572214,17474.0523293428,84.68111157286279
451.0940542305019,3759.1148171285663,8.33332823138413,35131.07522097804,11408.171535870126,0.0,-6684.281022506122,0.2610856157783392,0.00013541658375999208,71706.84515213719,18.084855249572364,0.4168425704129189,16720.500127100888,87.68854069539462
451.0940542305019,3759.1148171285663,8.33332823138413,35131.07522097804,11408.171535870126,0.0,-6684.281022506122,0.2610856157783392,0.00013541658375999208,71706.84515213719,18.084855249572364,0.4168425704129189,16720.500127100888,87.68854069539462
778.1891696899634,6484.905777134748,8.33332823138413,66081.52626727693,9541.704272177432,0.0,-5999.019342385348,0.3053797188784396,0.0001354165837599921,71446.51229668694,18.733739557663828,0.4056923172869894,14203.964618042033,101.57433671224162
1229.5136679667203,10245.940960139722,8.333328231384128,116145.61503698096,8369.76303045787,0.0,-5544.651144673892,0.36649654060227044,0.0001354165837599921,71120.99045432147,18.27006289856045,0.4215638953874612,12392.229788143637,120.24308113524813
1372.356328560235,11436.295736309681,8.333328231384126,133731.91337771696,8188.6409106817455,0.0,-5479.785502827519,0.38583980571503235,0.00013541658375999205,71021.51044087573,17.969453433259037,0.4309662888551528,12050.448355028235,126.03147997598322
1372.356328560235,11436.295736309681,8.333328231384126,133731.91337771696,8188.6409106817455,0.0,-5479.785502827519,0.38583980571503235,0.00013541658375999205,71021.51044087573,17.969453433259037,0.4309662888551528,12050.448355028235,126.03147997598322
1761.2400578273182,14676.991496137009,8.333328231384128,185754.7742702649,7949.635511243506,0.0,-5398.476958392938,0.43850111181222645,0.0001354165837599921,70755.38161886044,16.523214193081532,0.470913008047831,11444.899336267363,141.4927097008589
2297.8202319241477,19148.49020933912,8.333328231384122,267231.71970641176,7912.150144474098,0.0,-5439.318711375657,0.5111629659017608,0.000135416583759992,70390.02073752922,14.044515870497822,0.5449527662614652,11023.329081030888,162.09903383098683
2467.6460224193984,20563.704263690324,8.333328231384124,295297.0653507542,7907.153929610208,0.0,-5451.532599683863,0.5341601942849677,0.000135416583759992,70273.12975322973,13.17938357322551,0.5722020998202287,10917.945850432974,168.44210711069562
2467.6460224193984,20563.704263690324,8.333328231384124,295297.0653507542,7907.153929610208,0.0,-5451.532599683863,0.5341601942849677,0.000135416583759992,70273.12975322973,13.17938357322551,0.5722020998202287,10917.945850432974,168.44210711069562
2794.74113787886,23289.495223696504,8.333328231384126,352354.32334540226,7912.34174765111,0.0,-5486.210682134366,0.5784542973850682,0.00013541658375999203,70047.79638339877,11.544029461700093,0.6278071925221349,10751.607719607056,180.41248453081272
3246.0656361556166,27050.530406701477,8.33332823138413,437399.745851353,8006.079064487456,0.0,-5561.2266970948685,0.639571119108899,0.00013541658375999203,69733.83426920339,9.063484173987257,0.722565364616387,10646.309651154657,196.38747814768624
3388.9082967491318,28240.885182871432,8.333328231384133,465802.44865301263,8036.090677304374,0.0,-5582.753887209814,0.6589143842216607,0.00013541658375999221,69633.47603642361,8.268768575338974,0.755996336076931,10620.69663178044,201.3103653791
3388.9082967491318,28240.885182871432,8.333328231384133,465802.44865301263,8036.090677304374,0.0,-5582.753887209814,0.6589143842216607,0.00013541658375999221,69633.47603642361,8.268768575338974,0.755996336076931,10620.69663178044,201.3103653791
